courses_title,degree_field,url,skills,skill_1,skill_2,skill_3,cert_titles
[''],['Computer Science and Engineering Degrees with Minors'],https://www.linkedin.com/in/zenoncuellar,"['Database Administration', 'Cloud Engineering and Management', 'Data Engineering and Management']",database management,cloud computing,data warehousing,[]
[''],"['Languages and Literature', 'Computer Science and Engineering']",https://www.linkedin.com/in/davidpickford,"['Process Improvement and Management', 'Programming Paradigms', 'Software Design Patterns']",agile methodologies,object-oriented programming,design patterns,[]
"['bc calculus', 'computer science', 'algorithms', 'calculus', 'computer organization architecture', 'database management', 'discrete math', 'internetworking', 'math reasoning', 'software development', 'software development', 'software systems analysis', 'system design']","['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/mariaminnamolloy,"['Spring Boot Expertise', 'Java Mastery', 'Web Development Expertise']",spring framework,java development,web development,[]
"['design analysis algorithms(audit)', 'digital machine design', 'embedded system', 'object oriented programming c++', 'vlsi computer aided design', 'vlsi testing verification']","['Electrical Engineering and Related Disciplines', 'Communication and Information Technology']",https://www.linkedin.com/in/yuan-anne-feng-821a7618,"['Software Engineering Cluster', 'Software Engineering Cluster', 'Kotlin Development']",game development,unity development,kotlin programming,['Unity Certified Developer']
[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Related Disciplines', 'Technology and Applied Sciences']",https://www.linkedin.com/in/camile-woodruff,"['Code Engineering', 'Automation Engineering', 'Data Analytics Suite']",code optimization,automation testing,financial data analysis,[]
[''],"['Computer Science and Engineering', 'Information Technology']",https://www.linkedin.com/in/roksana-baleshzar,"['Data and Object Manipulation', 'Parallel and Scientific Computing', 'Data Structures and Algorithms']",array manipulation,parallel processing,data structure design,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/gerard-rovira,"['Web Development Expertise', 'Front-End Web Development', 'Front-End Web Development']",web development,css layout,css styling,[]
[''],[],https://www.linkedin.com/in/hui-xian-902b136,"['IDE Proficiency and Navigation', 'XAML and C# Development', 'Design Engineering']",ide navigation,xaml syntax,ui design,[]
[''],"['Information Technology and Management', 'Information Technology']",https://www.linkedin.com/in/evan-hasal-a480542,"['Virtualization and Cloud Management', 'Project Management and Resource Allocation', 'Cybersecurity']",virtualization management,resource allocation,network security,[]
"['algorithms', 'computer graphics', 'linear algebra', 'operating systems', 'physics engineers', 'shader programming (rsl glsl)', 'simulation game programming', 'software engineering', 'vector calculus']","['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/alexanderclucas,"['d modeling', 'Software Engineering Cluster', 'Programming Paradigms']",3d modeling,unity development,c# programming,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",https://www.linkedin.com/in/wonjunjang,"['Python Development', 'Front-End Development Cluster', 'Java Mastery']",python development,front-end development,java programming,[]
"['enterprise distributed systems', 'enterprise software platforms', 'software systems engineering', 'formal language automata', 'graph theory', 'integer linear programming', 'mongodb java developers']","['Computer Science and Engineering', 'Mathematical Sciences']",https://www.linkedin.com/in/kemi-porto-8b9bb453,"['Data Foundations and Algorithmics', 'Code Engineering', 'Java Mastery']",data structures,code architecture,java arrays,[]
[''],[],https://www.linkedin.com/in/eric-greenwood-74627a58,"['Computer Technology', 'Computer Technology', 'Technical Software Proficiency']",hardware installation,computer hardware knowledge,pcb design software proficiency,[]
[''],"['Business and Administration', 'Computer Science and Engineering', 'Software Engineering and Computing Technologies']",https://www.linkedin.com/in/danbien,"['IT Management', 'Automation Engineering', 'Process Improvement and Management']",sdlc management,network automation,agile methodologies,[]
[''],[],https://www.linkedin.com/in/andremagni,"['Data Engineering and Management', 'Data Analytics Suite', 'Machine Learning and Data Science']",data management,data analysis,machine learning,"['MCPD: Windows Azure Developer', 'ITIL Foundation v2.0', 'ITIL Foundation v3.0', 'MC Application Developer', 'MC Database Administrator', 'MC Desktop Support Technician', 'MC Solution Developer .NET', 'MC Solution Developer Visual Studio 6.0', 'MC Systems Engineer - Windows NT 4.0', 'MCITP: Business Intelligence Developer 2005', 'MCITP: Business Intelligence Developer 2008', 'MCITP: Database Administrator 2005', 'MCITP: Database Administrator 2008', 'MCITP: Database Developer 2005', 'MCITP: Database Developer 2008', 'MCPD: ASP.NET Developer 3.5', 'MCPD: Enterprise Application Developer', 'MCPD: Enterprise Application Developer 3.5', 'MCPD: Web Developer', 'MCPD: Web Developer 4', 'MCPD: Windows Developer', 'MCPD: Windows Developer 3.5', 'MCTS: BizTalk Server 2006, Custom Applications', 'MCTS: MOSS 2007, Application Development', 'MCTS: MOSS 2007, Configuration', 'MCTS: SharePoint 2010, Application Development', 'MCTS: WSS 3.0, Application Development', 'MCTS: WSS 3.0, Configuration', 'MCTS: Windows Server 2003: Hosting, Configuration and Management', 'Microsft Certified Trainer', 'Microsoft Achievement: Delivering Business Value Planning Services', 'Microsoft Solution Framework Application Development Trainer', 'Microsoft Solution Framework Component Design Trainer', 'Microsoft Solution Framework Practitioner']"
[''],['Electronics and Communication'],https://www.linkedin.com/in/agupta00,"['Virtualization and Cloud Management', 'Debugging and Troubleshooting', 'Audio Synthesis and Modular Techniques']",virtualization management,javascript debugging,modular synthesis,[]
[''],"['Engineering and Applied Sciences', 'Mechanical Engineering and Related Fields']",https://www.linkedin.com/in/varun-allampalli-b02b218,"['IT Management', 'IT Administration', 'Web Development Expertise']",thread management,server administration,web development,[]
[''],['Management and Business'],https://www.linkedin.com/in/sara-mulherin,"['Sales Management and Optimization', 'Sales Management and Optimization', 'Problem-Solving and Computation']",process improvement,sales engineering,problem solving,[]
[''],['Computer Science and Engineering'],https://www.linkedin.com/in/vijayaraghavansubbaiah,"['Cloud Engineering and Management', 'Database Administration', 'Data Engineering and Management']",aws cloud development,nosql database management,data analytics,[]
[''],"['Computer Science and Engineering', 'Computer Science and Engineering', 'Mathematical Sciences']",https://www.linkedin.com/in/echesakov,"['Cross-Platform and Cloud Platform Management', 'XAML and C# Development', 'Concurrency Management']",cross-platform development,xaml content creation,java concurrency,[]
"['critical thinking', 'design thinking', 'turning point', 'art living']",['Software Engineering and Computing Technologies'],https://www.linkedin.com/in/jayakrishnansomasekharannair,"['Web Development Expertise', 'Data Validation and Manufacturing', 'Java EE Development']",web development,data validation,java ee framework,"['Swift 5 Essential Training', 'Learning Secure Payments and PCI', 'Learn Java Cryptography', 'Blockchain: Beyond the Basics', 'Blockchain Basics', 'Learning Cryptography and Network Security', 'SQL Tips, Tricks, & Techniques', 'ATG Dynamo']"
[''],"['Electrical Engineering and Electronics', 'Science cluster']",https://www.linkedin.com/in/devinenibharat-sapbasishanaconsultant,"['Kotlin Development', 'Virtualization Expertise', 'java  features']",kotlin development,aws virtual machine migration,java 17 features,"['Accessibility in Action', 'Microsoft Certified: Azure Fundamentals', 'SAP Certified Technology Associate(Edition 2014) – SAP HANA', 'Microsoft Certified: Azure for SAP Workloads Specialty', 'SAFe® 4 Practitioner']"
"['econometrics', 'macroeconomics', 'microeconomics', 'development economics', 'management science', 'linear algebra honors', 'business law', 'complex analysis', 'engineering physics', 'mathematical modeling', 'nonlinear differential equations', 'numerical analysis', 'ordinary differential equations', 'real analysis', 'statistics', 'intro c++']","['Mathematical Sciences', 'Quantitative Economics and Mathematics', 'Quantitative Economics and Mathematics']",https://www.linkedin.com/in/rankinrachel,"['Software Engineering', 'Data Engineering and Management', 'Data Analytics Suite']",install software,protect data,data analysis,['CRLA Level II Certified']
[''],[],https://www.linkedin.com/in/manjit-pathak-phd-b1831b3,"['Recommendation Systems and Algorithms', 'Sales Management and Optimization', 'Optimization']",recommendation engine design,sales dashboard creation,pandas optimization,"['Probabilistic Graphical Model 1: Representat', 'Getting Started with AWS Machine Learning', 'TensorFlow in Practice', 'Master SQL for Data Science', 'AI For Everyone', 'Coursera Mentor Community and Training Course', 'Deep Learning Specialization', 'Learning Python for Data Analysis and Visualization', 'Statistical Learning', 'Introduction to Computer Science and Programming Using Python', 'Data Science Specialization', 'Machine Learning']"
[''],"['Computer Science and Engineering', 'Languages and Literature']",https://www.linkedin.com/in/monysimkh,"['Cross-Platform and Cloud Platform Management', 'Communication and Interpersonal Skills', '.NET Development Fundamentals']",cross-platform app development,websocket communication,.net maui application creation,['Microsoft .NET Framework – Web-Based Client Development']
[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Related Disciplines']",https://www.linkedin.com/in/xu-ji-b585586,"['Troubleshooting Proficiency', 'Operating Systems Expertise', 'Configuration Management']",hardware troubleshooting,operating system installation,network configuration,[]
[''],"['Honors and Distinction Programs', 'Quantitative Economics and Mathematics']",https://www.linkedin.com/in/mtmcgough,"['Data Analytics Suite', 'Data Manipulation and Querying', 'Data and Modeling']",data analysis,sql programming,predictive modeling,[]
