id,courses_title,degree_field,exp_duration,url,skills,skill_1,skill_2,skill_3,cert_titles,exp_group
adithya-ramesh-949496137,[''],"['Analytics and Business Intelligence', 'Electrical Engineering and Electronics']",86,https://www.linkedin.com/in/adithya-ramesh-949496137,"['Data', 'Text', 'Regression']",data visualization,text analysis,regression analysis,[],0
james-huang-83040936,[''],"['Electrical Engineering and Electronics', 'Mechatronics and Automation Engineering']",62,https://www.linkedin.com/in/james-huang-83040936,"['iOS', 'editing', 'Device']",ios navigation,image editing,device management,[],0
zenon-cuellar-0a819337,[''],['Computer Science and Engineering Degrees with Minors'],203,https://www.linkedin.com/in/zenoncuellar,"['Database', 'Cloud', 'Data']",database management,cloud computing,data warehousing,[],1
ryantaylorut,[''],['Information Systems Management and Technology'],64,https://www.linkedin.com/in/ryantaylorut,"['Vulnerability', 'Penetration', 'Security']",vulnerability scanning,penetration testing,security auditing,"['Splunk Core Certified Power User', 'CompTIA Security+', 'Amazon Web Services Cloud Practitioner']",0
amrutha-srinivasan-64937113a,[''],"['Computer Science and Engineering', 'Information Sciences and Engineering']",35,https://www.linkedin.com/in/amrutha-srinivasan,"['NLP', 'Recommendation', 'Machine']",nlp modeling,recommendation systems,machine learning,[],0
daniel-hunte,[''],"['Electrical and Computer Engineering', 'Mathematical Sciences']",36,https://www.linkedin.com/in/daniel-hunte,"['Data', 'Big', 'Processing', 'Ecosystem']",data management,big data processing,hadoop ecosystem,[],0
joselom23,"['calculus', 'differential equations', 'applied data mining (statistical learning)', 'applied linear models', 'categorical data analysis', 'design experiments', 'linear programming', 'numerical analysis', 'numerical linear algebra', 'sas programming', 'statistical inference', 'statistical theory (mathematical statistics)']","['Statistical Sciences', 'Industrial Engineering Cluster']",46,https://www.linkedin.com/in/joselom23,"['Data', 'Model', 'Machine', 'Data Foundations and Algorithmics']",data analysis,model building,machine learning algorithms,"['Mentor Silver', 'Data Science Challenge Certification', 'Data Science Challenge Certification', 'OpenHack: DevOps', 'Microsoft Global Challenger', 'Accessibility in Action', 'Microsoft Certified: Azure Data Scientist Associate', 'OpenHack: AI-Powered Knowledge Mining', 'OpenHack: AI-Powered Knowledge Mining']",0
anoushka-tiwari,[''],['Electrical and Computer Engineering'],34,https://www.linkedin.com/in/anoushka-tiwari,"['Web', 'Full-Stack', 'Ruby']",web development,full-stack development,ruby programming,[],0
larry-flowers-22061728,[''],[],408,https://www.linkedin.com/in/larry-flowers-22061728,"['Wireless', 'computing']",wireless network configuration,network troubleshooting,cloud computing basics,[],2
juleslperkins,[''],"['Computer Science and Engineering', 'Language Education']",88,https://www.linkedin.com/in/juleslperkins,"['Code', 'Unit', 'Test-Driven']",code refactoring,unit testing,test-driven development,['Bachelor of Science'],0
