Languages and Literature,Computer Systems and Systems Engineering,Computing and Information Technologies,Data Analytics and Business Intelligence,Natural and Applied Sciences,Information Systems Management and Technology,Quantitative and Computational Sciences,Electrical and Computer Engineering,Chemical Sciences,Computer Science and Engineering,Cloud and Infrastructure Engineering,Information Sciences and Engineering,Biomedical Engineering Cluster,Business and Administration,Physical Sciences and Mathematics,Telecommunications and Electronics,Computational and Mathematical Sciences,VLSI Engineering,Electrical Engineering and Electronics,Computational Mathematics and Engineering,Electronics and Computer Systems,Cybersecurity and Information Assurance Cluster,Instrumentation and Control Engineering,Network Engineering and Administration,STEM,Electronics and Communication,Embedded Systems Engineering,General and Interdisciplinary Studies,Materials Science and Engineering Cluster,Mechanical Engineering and Related Fields,Physical and Mathematical Sciences,Signal Processing and Communications,Quantitative Economics and Mathematics,Pre-Professional Studies,Business Operations and Information Management,Music Performance,Cognitive and Computational Psychology,Engineering and Applied Sciences,Computer Engineering and Technology,Financial Management and Analysis,Automation and Control Engineering,Software Engineering and Computing Technologies,Human Resources and Management,Network and Computer Systems,Control Engineering,Digital Media and Communications,Humanities and Social Studies,Information Systems and Communication,Information Technology and Management,Electronic and Electrical Engineering,Theoretical Sciences,Computer Science and Engineering Degrees with Minors,Electronics and Computer Technology,Information Technology and Applied Science,Computational Economics,Power Engineering,Marketing and Business,Science (PCM),Electrical and Computer Engineering Cluster,Engineering,Software Testing and Quality Assurance,Industrial Engineering and Operations Research,Mechatronics and Automation Engineering,Design and Development Technologies,Data Science and Management,Information and Telecommunication Technologies,Industrial Engineering Cluster,Computer Science Applications,Accounting and Related Fields,Electrical Engineering and Related Disciplines,Science cluster,Communications and Electronics Engineering,Mathématiques et physique,Aerospace Engineering,Polymer Science,Supply Chain and Logistics Management,Artificial Intelligence Engineering,Chemical Engineering and Allied Sciences,3D Animation and Design,Artificial Intelligence and Related Fields,Mathematical Sciences,Technical and Applied Sciences,International Studies,Valedictorians,Computer and Data Sciences,Historical Studies and Computing,Analytics and Business Intelligence,Management and Business,Statistical Sciences,Product and Strategy Management,Data Science and Analytics,Mathematical and Computational Sciences,Construction and Community Development,Web Development and Design,Computer Graphics and Interactive Technologies,Astrophysics,Neurocognitive Studies,Cybersecurity and Digital Forensics,STEM and Math,Academic Excellence and Engineering Distinction,Philosophy and Related Fields,Cybersecurity and Information Security,Physical Sciences and Engineering,Information Technology,Electronics and Instrumentation,Internet of Things Engineering,School and Education,Social Sciences Teacher Education,"Computer Science: Vision, Graphics, Interaction, and Robotics Track",Engineering and Production Technologies,Communication and Information Technology,Computer Science and Information Systems,Computer Science and Related,School Education,Engineering and Sciences,Cognitive Computation,Computational Biology,Language and Computation,Civil and Architectural Engineering,East Asian and Eurasian Studies,Computational Sciences and Engineering,Engineering and Technology Specializations,Arts and Humanities,Sustainable Energy and Environmental Law,Information and Communication Technologies (ICT),Computer Vision and Image Processing,"STEM (Science, Technology, Engineering, and Mathematics) Cluster",Machine Learning and Computer Vision,Systems Engineering,Advanced Manufacturing and Engineering,Machine Learning and Optimization,Education and Teaching,Language Education,Earth and Geosciences,Network Science and Engineering,Strategic Management and Innovation,Electrical Engineering and Power Systems,Robotics and Automation,Nanoscience and Nanotechnology,Business and Finance Studies,Criminal Justice and Related Fields,Technology and Applied Sciences,East Asian Studies,Information Technology (IT) and Management,Honors and Distinction Programs,Bio-STEM Sciences,Music and Technology,Natural Sciences and Mathematics,Computer science and electrical engineering
korean language,computer engineering (computer systems),computing science  information systems,computer information system - data analytics,englishcomputer science,geographical information systems,"probability  statistics, applied mathematics, architecture",electrical and computer engineering - computer architecture and embedded systems,materials chemistry,engineering; computer science,automation engineer technologytechnician,information engineering,bioengineering and biomedical engineering,economics and business administration,mathematics and physics,electronics and telecommunications,computational mathematics,computer engineering (vlsi),electrical  electronics eng,computer science; mathematics,electronics and computer science,assurance,instrumentation and control engineering,"applied networking  system administration, communications",biological sciences and biotechnology,electronics and communication engineering,computer architecture  embedded system,general engineering,condensed matter and materials physics,computer science and mechanical engineering,"physics , math , chemistry and english","signal processing, communications and networks","mathematics, economics",pre-pharmacy studies,operations management and information systems,"music performance, general",honors computer science and psychology,biosystems engineering,computer engineering | hoeft technology  management class xxvi,"finance, corporate finance",mechanical  automation engineering,electrical and software engineering,natural resources,computer and network,control engineering,digital communications  electro-optics,liberal arts and sciencesliberal studies,information system management,technology management,electronic and information engineering,theoretical and mathematical physics,computer science with minor in japanese,electronics and computer technology engineering,applied science technology,economics and computer science,power electronics,"marketing, information systems",non-medical (pcm),electrical and electronic engineering; computer science and industrial system engineering,ingeniería mecatrónica,software quality assurance course,industrial engineering and operations research,mechatronics technology,game design  development,master of science in business analytics,electronics  telecommunication,industrial engineering,computer applications,accounting- tax,electrical engineering  mathmatics,"mathematics,physics and chemistry",electronics  communications engineering,"sciences pures et appliquée, programme eureka",mechanical and aerospace engineering,polymer science and chemical engineering,"business honors, supply chain management",machine learning engineer,chemical and biological engineering,animation arts  design,robotics and artificial intelligence,"mathematics, advanced",nutrition and dietetics,international relations, (valedictorian),bs finance,history,predictive analytics,commercial management and quantity surveying,mathematics and statistics,"strategy  management consulting, marketing",data science and engineering,pure science,construction management,user experience (ux) design minor; e-commerce web developer certification,computer graphics,astronomy minor,neuroscience,network and cyber security,"computer science, applied math",computer science (magna cum laude),"computer science, philosophy",certificate in information security management,applied physics  computer science (minor),information technology and informatics,electronics  instrumentation,internet of things engineering,"school of computing, informatics, and decision systems engineering",mathematics teacher education,"computer science vision, graphics, interaction, and robotics track",production management,wireless communication,computer information science,double major in cybersecurity and network engineering,aisse  (cbse),managment science and engineering,"computer science, cognitive science",bioinformatics,linguistics; russian language and culture,civil and environmental engineering,economics and east asian studies,computational biophysics,"electronics  electrical communication engineering, micro-specialization in embedded wireless system",majored in art and minored in art history,mechanical engineering - thermal energy,information technologies,image processing,maths - science,computer vision and machine learning,systems engineering,propulsion and additive manufacturing,"computer science, deep learning",higher educationhigher education administration,teaching english as a second language,earth system science,computer networks,strategy,electric engineering,computer science and robotics,nanotechnology,economics  business finance,criminal justicelaw enforcement administration,"business, technology",chinese,it management,philosophy with honors,"mathematics, biology",audio and music engineering,"english, physics, chemistry, biology, maths",college of electrical engineering  computer science
english language and literatureletters,computer science (distributed systems group),engineering  computing,data analytics engineering,computer science and statistical science,information systems management,applied statistics  computer science,computer engineering,organic chemistry,"transfer, computer science",electrical engineer,computer science and information engineering,biomedical engineering  computer engineering,"business administration, marketing","mathematics, physics, and engineering",telecommunications certificate,mathematical and computational science,cmos vlsi,electrical engineering electronics,computer engineering; mathematics,science and electronics,cybersecurity engineering,control and instrumentation engineering,"networking, and administration",computer and information sciences,electronics and communication,embedded systems engineering,"information systems, general",materials science  engineering,mechanical engineering and computer science,"math, physics, chemistry",electrical engineering (signal processing),mathematics (statistics track)  economics,pre-health,engineering  operations management,"music performance, (guitar)",cognitive psychology,nuclear engineering,computer technologycomputer systems technology,finance and financial management services,mechanical engineering and automation,computer systems and software,human environmental science,information technology - computer network systems,mechanical engineering; mechatronic and intelligent control,dynamic digital media,mass communicationmedia studies,very large information system,management and technology,electronic systems technology,theoretical computer science,human development and family sciences | minor in business administration | minor in entrepreneurship,electronics technology,applied information technology,"computer science, economics",power converters and drives,marketing and international business,pcm with computer science,"electrical engineering, electronics circuits and system",ingeniería mecatronica,software engineering and quality testing,industrial engineering  operations research,mechatronics engineering – co-operative program,product design and development,bachelor of technology in computer science,information and telecommunication systems,industrial management,computer programming and analysis,accounting and computer science,electrical  computer,"subjects chemistry, physics, mathematics, biology, english",electronics and communications,formation et enseignement secondaires,mechanical  aerospace engineering,polymer science and engineering,logistics  supply chain analytics,,chemical engineering,visual effects  animation,exchange student- artificial intelligence,applicable mathematics,religion and christian ministry,international management,", nancy-metz valedictorian",computer science bs,computer science and history of science,business information  analytics,mba business management,statistics,product management strategy,information management - data science,"pure mathematics, computer science",construction engineering,user experience and web design,interactive computer graphics,"astronomy, physics, and mathematics",cognitive science  neuroscience,cyber security engineering,mathematics and applied math,"business management, cum laude",philosophy,"computer science, security",physics,electrical engineering and information technology,msc mathematics and be electronics  instrumentation engineering,internet of things,school,history teacher education,"vision, graphics, interaction, and robotics track",production engineering,communication applications technology,computer science and information systems,"major in computer science, minor in data science",cbse,laser and optical engineering,computer science and cognitive science,computer science and bioinformatics,linguistics and computer science,earthquake engineering in civil engineering,east asian languages and cultures,computational science,mechanical engineer with a specialization in design,concentration in art history and languages,electrical  renewable energy engineering,computer science (multimedia  creative technologies),image processing and computer vision,"science, maths, hindi, english, social science",machine learning,computer and systems engineering,"(structures, materials and manufacturing)",deep learning,special education and teaching,teaching english as a second or foreign languageesl language,geological and earth sciencesgeosciences,computer systems and networks,operationslogistics and business strategy,electric information engineering,robotics,nanotechnology engineering,"business administration, information system and finance",criminal justice political science,textile technology,chinese language and literature,it engineering,honors,biology and spanish literature,music theory and composition,"maths, physics","college,  years"
english language and literature,"computer science, systems option",materials science and scientific computing,wharton's business analytics from data to insights,mathcomputer science,management of information and communications systems,applied computer science,electrical and computer engineering (ece),chemistry,computer science and italian,front-end engineer,geographic information science and cartography,biomedical engineering,business administration - project management,physics (minar mathematics),telecommunications engineering,computer science and computational mathematics,electrical and computer engineering - major in vlsi,electrical and electronics,science and mathematics,electronics,cybersecurity and informarion assurance,instrumentation and control,computer networking systems,social sciences,electronics  communication engineering,"software engineering, application programming, embedded systems, security","computer and information sciences, general",materials engineering,"mechanical engineering, electromechanical",physics and math (double major),signal  system,economics,pre-law studies,information technology operations management,music performance,social organizational psychology,reverse engineering  exploitation,computer engineering technology,computer science  information engineering (another major finance),automation science and electrical engineering,computer software engineering and electronics engineering,informed leadership combating human trafficking globally,network security,quality control,digital communications,ethnics studies,communication  information system,information technology  project management,electrical  electronic engineering,theoretical linguistics,"industrial engineering, minor in computer science, applications in data science certificate",computer electronics technology,applied science and technology,economics  computer science,power and energy systems,marketing,pcm,electrical and computer engineering - software engineering  system,ingeniería,software quality assurance,operations research and information engineering,mechatronics design,computer science and game design,master of information systems management,electronics and telecommunication engineering,industrial system engineering,intermediate applications developer,accounting and finance,electrical engineeringcomputer science,"(physics, chemistry, mathematics, electronics)",cisco unified communications,mpsi et mp,aerospace engineering,polymer chemistry,supply chain management,,chemical physics,d animation,artificial intelligence,applied mathematics and computer science,workforce development and training,finance  international business,,computer science (bs) and environmental science (bs),"computer vision, history of architecture",marketing analytics,project management certification,"data science, mathematics, statistics","marketing, strategy, product management",data analyst,pure mathematics,construction technology and management,full stack web development,,"physics, astronomy",cognitive neuroscience,cyber security analytics,"computer science, finance, math",civil engineering - magna cum laude,"mathematics, philosophy",security  risk analysis,physics; lei zhou,geo-information science and technology,electronics and instrumentation control,computer systems engineering concentration in internet of things,uctech school of design,social studies teacher education,stem track,sound artsaudio production,digital communication and mediamultimedia,computer and information systems,double major in applied mathematics and statistics,cbse th standard,mining and mineral engineering,cognitive science,,computational linguistics,architectural and civil engineering,"east asian languages, literatures, and linguistics",computational science and engineering,with specialization in product design and manufacturing,"marketing, sales, art",energy efficiency,language and information technologies,computer vision,science maths,machine learning and computer vision,comuter and systems engineering,manufacturing and mechanical engineering,optimization and learning,primary education,english (teaching chinese as a foreign language),school of earth sciences interdisciplinary program in earth energy and environmental science,"wireless networks, computer science",finance strategy,electric power engineering,mechanical engineering robotics,,bachelor of business administration marketing and finance,criminal justice and corrections,technology entrepreneurship certificate,chinese business environment  german,business and it,pass with honors,mathematics-chemistry-biology-entrepreneurship,particle theory,"maths, physics and chemistry",(sardar patel college of engineering)
english,"systems engineering, computer science minor",cloud computing and software as a service,"data science, data analytics, software",compuer science,"management information systems, general",applied statistics,electrical engineering and computer science (eecs),physical chemistry,computer science  engg,network engineer,information science,biomedical engineering (mdde),business administration and team and project management,"computer science, mathematics, physics",telecommunications management,applied and computational mathematical sciences discrete math and algorithms,vlsi design,electrical  electronics engineering,"computer engineering, computer science, and mathematics",electronics and computer tech,computer and information science and cybersecurity,instrumentation,computer systems networking,computer and information sciences and support services,electronics  communication enggineering,embedded system design,"geologyearth science, general",materials science and engineering,electro mechanical technology,"math,physics,chemistry and computers",telecommunications and signal processing,mathematics and economics,pre-engineering,information systems and operations management,cello performance,"computer science, psychology",engineering,"electronics engineering technology (major), computer science (minor)",finance and transportation  logistics,electrical engineering and automation,software engineering and systems,human computer interaction,electrical engineering (computer network),"computer science, specialty modeling, cognition and control (mc)",digital gaming and simulation,entrepreneurshipentrepreneurial studies,information management and information system,information technology project management,electrical and electronic engineering,theoretical mathematics,economics; minor - business,electronics design technology,computer applied technology,"computer science, russian, economics",power systems,"business, management, marketing, and related support services",pcm with informatics practices,electrical engineering; communication system,,mobile app testing using appium,operations research,"mechatronics, robotics, and automation engineering",dramadirecting and design,master of financial management,computer networking and telecommunication systems,industrial manufacturing and systems engineering,masters in computer applications,accounting and businessmanagement,electrical enginneering,"mathematics, physics, chemistry",electronics and tele-communications engineering,"programmation sémantique, preuves et langages","aerospace, aeronautical and astronautical engineering",,integrated supply chain management; engineering coursework - top  nationally ranked program,,chemical and biomolecular engineering,d modeling and animation,computer science - artificial intelligence,mathematics (intensive),electromagnetic field and microwave techniques,international baccalaureate,,bs of computer engineering and bs of computer science,"history, business",advanced analytics,aviation management,calculus  statistics,product innovation,computer science (data science concentration),pure and applied science,community development w areas of building construction and acocunts registrar,web design,,"mathematics, astronomy, physics",cognitive neuropsychology and neuroscience,cyber security,math computer science,"mechanical engineering, summa cum laude","mathematics; minor, philosophy",infromation security,"computer science, physics",information technology engineering,electronics and instrumentation of engineering,,"computer science (school of engineering), english",,,"double option in ""computer information systems"" and ""production operation mgmt""",communication,computer and information systems securityinformation assurance,major in cybersecurity,primary educatiion till th,computer science and engineering,,,linguistics,architectural engineering,"russian, east european and eurasian studies",computational science  engineering,mathematics with a specialization in actuarial science,art practice,"energy, environment, and natural resources law",linux  cloud infrastructure technologies  kubernetes  dockers,,,machine tool technology,robotic systems engineering,mechanical engineering computational mechanics and manufacturing,applied learning and development,education,attended as part of the congress-bundestag youth exchange,,computer networks and cybersecurity,corporate strategy and finance,electric and computer engineering,software and robotics,,"business administration, honors, concentrations in finance and management information systems",criminal justicepolice science,intelligent science and technology,chinese language and culture,it security,electrical engineering with honors,biology,"computer science, music composition","english, physics, chemistry, maths and computer science",computer science (harvey mudd college)
english language program,computer engineering - computer systems,computing systems,data analytics  visualization,science,management information systems and services,"chemical engineering, applied statistics and informatics",electrical computer digital engineering,inorganic chemistry,"computer science, entrepreneurship",computer sciences engineer,information science and engineering,major electrical engineering minor biomedical engineering,"business administration and management, marketing","mathematics and physics majors, computer science minor",electronics and telecommunications engineering,,vlsi,electrical engineering (electronics),"mathematics, computer science",micro electronics,"information sciences, cybersecurity and information assurance",instrumentation engineering,information networking,environmental sciences,electronics  communication,"electrical engineering, specializing in embedded systems","biology, general",materials and metallurgical engg,mechanical engineering,"chemistry; minors business, math","electrical and computer engineering, digital signal processing",applied mathematics and economics,law,"finance, information and operations management, ecommerce management",,economics and psychology,electrial engineering,electromechanical engineering technology,mathematics in finance,computer science and automation,computer software and cybersecurity,human resources management,electrical engineering (network safety),electrical and control engineering,digital media design,criminal justice  legal studies (ba) biblical studies (ba),information system,information technology  management,electronic and computer engineering,theoretical physics,aerospace engineering with a minor in computer science,electronics and computer technology,,computer science and government modified with economics,automotive motorsports  clean power systems,mis and marketing,science (pcm),electrical and system engineering,,,operations research and statistics,mechatronics engineering,"computer science, design",university of pennsylvania,telecommunication,industrial  systems engineering,computer programming,accounting and analytics,electrical engineering,"physics, chemistry, mathematics, electronics",electronics and tele communications,mpsi - psi,"aerospace, aeronautical and astronauticalspace engineering",,"logistics, materials, and supply chain management",,chemical and industrial engineering,,concentrations in intelligence and theory,mathematics,remote sensing and geophysics,international economic law,,,computer science and history,analytics,sport and entertainment management,economics and statistics,product development,data analysis,,,web development and administration,,astronomy  physics,neuroscience and photography,cyber security  forensics emphasis,applied math,magna cum laude,"| entrepreneurship, strategic management, philosophy of language, data science, physicaldigital art",national security studies,physics with electrical engineering,computer science and information technology,electronics and instrumentation,,high school diploma,,,,"finance(dual major), electronic and communication engineering","computer and information systems, general",double major in computer science and information systems,th standard,engineering science,,,,civil engineering,,computational engineering,applied mathematics and a specialization in computing,art,,multimedia and creative technologies,,,electrical and computer engineering (machine learning track),systems and entrepreneurial engineering,computational design and manufacturing,,technology education; graphic communications,,,"php, dbms, networks, erp, oops","innovation, entrepreneurship, strategy, management, technology",,automation and robotics,,"business administration, finance",criminal justicesociology,logistics technology,traditional chinese medicine and chinese herbology,it,computer science (turing scholar honors program),biochemistry and molecular biology,music theory and studio recording,"maths, physics  chemistry",
"english literature, political science",computer science and systems,computing,chemical engineering and data analytics,physicsmaterial science,information management,"applied mathematics and statistics  data science, distinction in both majors",electrical engineering and computer sciences,medicinal chemistry,computer science engineering,computer engineer,optoelectronic information science and engineering,bioengineering and biomedical engineering and minor in computer science,business administration | accounting | cis,"physics, computer science, mathematics",engineering and applied science; telecommunications and networking,,electrical engineering - vlsi,electrical and electronics engineering,"computer science and engineering, mathematics",electronics and computer engineering,cybersecurity,instrumentation technologytechnician,computer science and networking,information systems and decision sciences,dual degree for bsc organisational communication,wireless embedded systems,"finance, general",materials science and engineering  mathematics,mechanical,"math, physics, electronics","communications, signal processing and networking","economics, applied economics, econometrics",public health,operations  information management,,industrial and organizational psychology,elecrical engineering,,finance,automation,software engineering,human resources management and services,applied science degree - network technician,ee control theory,electrical engineering (digital design),biblical studies,communication and information system,technology management mba,"electrical and electronic engineering, computational electromagentics",,mathematics and computer science; minor in spanish,electronics technology  systems,,computer science and economics,power electronics and motion control,"marketing, international business",non medical,,,,ml and operations research,mechatronics,electronic game design,master of science in information technology,telecommunication engineering,industrial and systems engineering,"computer programming, specific applications",accounting,electrical,"mathematics, physics and chemistry",electronics and communications engineering,,aerospace,,supply chain management and management information systems,,"chemical and biomolecular engineering, high honors, quantitative finance minor",,microsoft datacenter academy student,applied mathematics and informatics,"heating, air conditioning, ventilation and refrigeration maintenance technologytechnician",international economics,,,"history, computer science",business analytics and project management,management science  engineering,statistics and computer science,,data modelingwarehousing and database administration,,,web applications and services,,astronomy,,information security and forensics," , sat  (math , reading , writing )",systems and computing engineering - summa cum laude,,information security,engineering physicsapplied physics,information systems and technology (application development concentration),electronics instrumentation and control,,grade school,,,,communications; communication and culture; recruitment chairman,computer science; information systems,computer science and data science (double major),,engineering and applied science,,,,,,computational neuroscience,specialization in nvh(noise vibration and harshness),"art history, criticism and conservation",,internet technologies,,,electrical and computer engineering (machine learning specialization),computer systems engineering,,,junior highintermediatemiddle school education and teaching,,,complex networks,business strategy and marketing,,,,"business administration, finance  international business concentrations",criminal justice,food science and technology,german,it operating systems and programming,with distinction,"english, biology",music,"maths, physics, chemistry",
english literature,"computer science, computer  systems engineering",computing security,computer science and business data analytics,science stream,management information systems (mis),applied economics and statistics,electrical and computer engineering (computer vision),"computer science, chemistry",computer science  entrepreneurship,computaer engineer,information science  engineering,"electrical engineering, biomedical engineering",business,"sciences - physics, biology, mathematics",telecommunications,,vlsi and computer architecture,management science and innovation; electrical and electronics engineering,mathematics and computer science,electronics and computers,information sciences - cybersecurity and information assurance,,computer networking and server administration,mathematics and computer sciences,,hardware and embedded design,general studies,materials science engineering,"mechanical engineering, computer science","physics, latin, applied math",communications and signal processing,econometrics and quantitative economics,,operations management and supervision,,quantitative psychology,vehicle engineering,,public finance (minor physics),mechanical and automation engineering,system software,"human resources managementpersonnel administration, general",network security  agile project management,automotic control engineering,digital modeling in virtual reality at université d'angers,communication and media studies,geographical information system,information technology management,electronic information science and technology,,computer science with minor in math,,,economics financial markets option,electrical power engineering,strategic marketing communications,non-medical,,,,industrial eng - operations mgmt  research,,asic design and test,master's of science in technology commercialization,electronics and telecommunication,industrial and system engineering,"programming, mcad","management information systems, computer science and accounting minors",electrical engineering (rf and microwave),"physics, chemistry,mathematics,economics",literature and communications,,,,operations and supply chain management,,chemical engineering and materials science,,visiting student,"mathematics, arithmetic geometry",environment and sustainability,international business,,,secondary ed history,business analytics and information systems,engineeringindustrial management,concentration statistics,,data theory,,,web development,,,,cyber security and digital forensics,math and science,,,information security and assurance,computer science and physics,information technology infrastructure,electronics and instrumentation engineering,,computer science (school of engineering),,,,"management informations systems, computer science, technical communication",computer and information science,dual major in computer science  engineering and mathematics,,space science and engineering,,,,,,computational modelling and simulation,electrical and computer engineering (specialization in embedded systems),educationinstructional practice,,business information technologies,,,"statistics, machine learning",systems,,,elementary education,,,wireless hacking,corporate innovation and entrepreneurship,,,,"introduction to economics, business and finance",administrative of justice,computer science and technology,clinical medicine,it strategic management,oracle intensive program,computer science and biology,music theory,"physics, chemistry, maths, economics",
computer programming language design and implementation,computer science - intelligent systems track,computing and information technology,"concentration in data analytics, research, and assessment",nursing science,management information systems (mis) and business management,"computer science, applied math and statistics",electrical engineering and computer science,applied chemistry,computer,hybrid cloud engineer,information sciencestudies,biomedical engineeringbioengineering,"business administration and management, general","physics, mathematics",electronics  telecommunications,,electrical engineering with focus on vlsi and computer architecture,"electrical and electronics engineering, specification in robotics",computer science  mathematics,electronics engineering,foundations of cybersecurity,,cisco networking,physical sciences,,embedded systems  vlsi design,general management,materials science  mechanical engineering,mechanical and automotive engineering,computers,"communications, signal processing, networks","economics, mathematics",,cyberelectronic operations and warfare,,computer science  psychology,electricalelectronic engineering,,finance  mis,,computer software engineering,human resources,computer information systems; network security,process equipment and control engineering,"interdisciplinary studies with a depth study in film, computing, and new digital media",environmental studies,unix system administraton,computerinformation technology administration and management,electronic information technology,,computer science w minor in economics,,,"economics with financial applications, public policy",,global business  marketing,informatics,,,,,,system design and management,"master of science (ms), management of information technology",,industrial engineering  economics (minor),computer science applications,accounting  mathematics,,"mpc - mathematics, physics and chemistry",electrical engineering - wireless communications,,,,"industrial and systems engineering, supply chain and transportation",,chemical engineering and computer science,,,applied computational mathematics,dynamics and controls,international educational development,,,secondary,cybersecurity analytics,technical management,data science and statistics,,data science,,,fullstack web development,,,,,,,,security management,engineering physics,information communication and technology,,,high schoolsecondary certificate programs,,,,computer and communication,"computer science, information systems",double major in mathematics and data science,,engineering science and ocean engineering,,,,,,computational biology,electronics and communications engineering with minor specialization in computer science,,,geographic information science and technologies,,,statistics and machine learning,information systems engineering,,,religious education,,,,,,,,business and finance,,multimedia technology,,it support,gifted program,mathematical biology,computer science and music,"physics, with certificate in finance, application of computing, applied and computational maths",
english and french language and literature,,parallel computing,mba with emphasis in business analytics  data science,kinesiology and exercise science,management information systems,applied statistics and data management,"electrical and computer engineering, systems and computer engineering",,"computer engineering  computer science, german certificate",oracle cloud,information retrieval,biomedical engineering and mathematics,"business administration and management,",,electronics and telecommunications engg,,vlsi systems,,natural science and mathematics,computer electronics engineering,"information systems, cybersecurity",,computer systems networking and telecommunications,pharmaceutical sciences,,embedded systems design,computer science (general),materials science,mechanical engineering major and business management minor,,"ee, signal processing","econometrics and quantitative economics, mathematics, computer science, statistics",,entrepreneurial and small business operations,,psychology and social behavior,biomedicalmedical engineering,,economics and finance,,computer science  software engineering,,network communications and management,electricalelectronics engineering - control systems (aircraftspacecraft controls),digital hardware design,aviation studies (management and law),,technology management - microsoft software and systems academy,electronic information science  technology,,"economics, minor in mathematics",,,,,,,,,,,,game design and development,master of computational data science,,industrial electronics,,,,"economics, english, chemistry, mathematics, physics",broadcast communications,,,,logistics and supply chain management,,chemistry and chemical engineering,,,"applied mathematics, minor cs",microelectronics and semiconductor,international public healthinternational health,,,,customer analytics,transportation planning and management,computer science and statistics (double),,applied data science,,,fullstack,,,,,,,,homeland security,nonlinear physics,computer information technology,,,regulargeneral high schoolsecondary diploma program,,,,tele-communication engineering,computer information systems,"major in electrical engineering, minor in computer science",,management science and engineering,,,,,,computational data sciences,software testing and automation specialization,,,,,,computer science - machine learning,systems and information engineering,,,general education,,,,,,,,business administration - finance,,bachelors in technology,,,,"biology, chemistry, naval science",,,
