id,url,like,like_name,input_url,warning,warning_code,error
hungwenc,https://www.linkedin.com/in/hungwenc,"[{""course_link"":""https://www.linkedin.com/learning/cloud-native-development-using-java-with-eclipse-microprofile-21972587?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/python-programming-efficiently-2?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cloud-hadoop-scaling-apache-spark?trk=public_profile_recommended-course""}]","[""Cloud-Native Development Using Java with Eclipse MicroProfile"",""Python: Programming Efficiently"",""Cloud Hadoop: Scaling Apache Spark""]",https://www.linkedin.com/in/hungwenc,,,
andremagni,https://www.linkedin.com/in/andremagni,"[{""course_link"":""https://www.linkedin.com/learning/data-engineering-foundations?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/linkedin-learning-highlights-data-science-and-analytics?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/data-science-on-google-cloud-platform-predictive-analytics?trk=public_profile_recommended-course""}]","[""Data Engineering Foundations"",""LinkedIn Learning Highlights: Data Science and Analytics"",""Data Science on Google Cloud Platform: Predictive Analytics""]",https://www.linkedin.com/in/andremagni/,,,
adithya-ramesh-949496137,https://www.linkedin.com/in/adithya-ramesh-949496137,"[{""course_link"":""https://www.linkedin.com/learning/hands-on-data-science-2-sales-dashboard-with-tableau?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/text-analytics-and-predictions-with-python-essential-training?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/sas-essential-training-2-regression-analysis-for-healthcare-research?trk=public_profile_recommended-course""}]","[""Hands-On Data Science: 2 Sales Dashboard with Tableau"",""Text Analytics and Predictions with Python Essential Training"",""SAS Essential Training: 2 Regression Analysis for Healthcare Research""]",https://www.linkedin.com/in/adithya-ramesh-949496137,,,
grant-neuman,https://www.linkedin.com/in/grant-neuman,"[{""course_link"":""https://www.linkedin.com/learning/spark-for-machine-learning-ai?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/level-up-python-data-modeling-and-model-evaluation-metrics?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/building-recommender-systems-with-machine-learning-and-ai?trk=public_profile_recommended-course""}]","[""Spark for Machine Learning & AI"",""Level Up: Python Data Modeling and Model Evaluation Metrics"",""Building Recommender Systems with Machine Learning and AI""]",https://www.linkedin.com/in/grant-neuman,,,
obianuju-davidson,https://www.linkedin.com/in/obianuju-davidson,[],[],https://www.linkedin.com/in/obianuju-davidson,,,
bertrand-chauvaux-1a562164,https://www.linkedin.com/in/bertrand-chauvaux-1a562164,"[{""course_link"":""https://www.linkedin.com/learning/microsoft-azure-identity-and-access-management-2023?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/cisco-devnet-associate-200-901-cert-prep-1-software-development-and-design?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/c-programming-for-embedded-applications-14537235?trk=public_profile_recommended-course""}]","[""Microsoft Azure: Identity and Access Management (2023)"",""Cisco DevNet Associate (200-901) Cert Prep 1: Software Development and Design"",""C Programming for Embedded Applications""]",https://www.linkedin.com/in/bertrand-chauvaux-1a562164,,,
sneha-vadakkemadathil,https://www.linkedin.com/in/sneha-vadakkemadathil,[],[],https://www.linkedin.com/in/sneha-vadakkemadathil,,,
shivanispv,https://www.linkedin.com/in/shivanispv,"[{""course_link"":""https://www.linkedin.com/learning/java-exception-handling?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/spring-spring-mvc-2?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/java-practice-functional-programming?trk=public_profile_recommended-course""}]","[""Java Exception Handling"",""Spring: Spring MVC"",""Java Practice: Functional Programming""]",https://www.linkedin.com/in/shivanispv,,,
berdikhan,https://www.linkedin.com/in/berdikhan,"[{""course_link"":""https://www.linkedin.com/learning/ios-app-development-design-patterns-for-mobile-architecture?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/apple-watchos-app-development-advanced-apis?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/xcode-14-essential-training?trk=public_profile_recommended-course""}]","[""iOS App Development: Design Patterns for Mobile Architecture"",""Apple watchOS App Development: Advanced APIs"",""Xcode 14 Essential Training""]",https://www.linkedin.com/in/berdikhan,,,
nitish-kumar-vaja-aaa095b0,https://www.linkedin.com/in/nitishkumarvaja,"[{""course_link"":""https://www.linkedin.com/learning/solidworks-simulation-for-finite-element-analysis?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/overcome-the-productivity-perception-gap-as-a-manager?trk=public_profile_recommended-course""},{""course_link"":""https://www.linkedin.com/learning/siemens-nx-design-for-injection-molding?trk=public_profile_recommended-course""}]","[""SOLIDWORKS: Simulation for Finite Element Analysis"",""Overcome The Productivity Perception Gap as a Manager"",""Siemens NX: Design for Injection Molding""]",https://www.linkedin.com/in/nitish-kumar-vaja-aaa095b0,,,
