courses_title,degree_field,url,skills,skill_1,skill_2,skill_3,cert_titles
[''],[],https://www.linkedin.com/in/larry-flowers-22061728,"['Configuration Management', 'Troubleshooting Proficiency', 'Foundation Skills']",wireless network configuration,network troubleshooting,cloud computing basics,[]
[''],"['Theoretical Sciences', 'Theoretical Sciences']",https://www.linkedin.com/in/teemu-rantalaiho-134a1312,"['Technical Proficiency', 'Concurrency and Multithreading', 'Concurrency Management']",enhanced concentration,multithreading proficiency,concurrency management,[]
[''],[],https://www.linkedin.com/in/debnowlin,"['IT Management', 'Virtualization Expertise', 'Cloud and Web Service Management']",disability awareness,virtual hiring,it service management,[]
['business management'],[],https://www.linkedin.com/in/elmer-gabinay-71b7b897,"['ML Model Development', 'Data Engineering and Management', 'Technical Proficiency']",model building,data processing,conflict resolution,[]
[''],[],https://www.linkedin.com/in/isakuyamahata,"['Operating Systems Expertise', 'Linux Device Driver Development', 'Embedded Systems']",operating system fundamentals,linux device driver development,embedded c programming,[]
[''],[],https://www.linkedin.com/in/ryan-harkins-99617850,"['IT Management', 'Server Management and Development', 'Cloud and Web Services Technologies']",active directory management,server configuration,federation services,[]
[''],[],https://www.linkedin.com/in/stevemuckle,"['Linux Kernel Mastery', 'Virtualization and Cloud Management', 'Linux Device Driver Development']",kernel management,virtualization techniques,driver development,[]
[''],"['Computer Science and Engineering', 'Electrical and Computer Engineering']",https://www.linkedin.com/in/jian-zhang-53827651,"['Linux Kernel Mastery', 'Software Engineering Cluster', 'Technical Proficiency']",linux kernel management,fpga development,pulse width modulation,[]
[''],[],https://www.linkedin.com/in/mario-vera-5888b94,"['Concurrency and Synchronization', 'Communication and Interpersonal Skills', 'Implementation Skills']",thread synchronization,thread communication,singleton pattern,[]
[''],"['Industrial Engineering and Operations Research', 'Philosophy and Related Fields']",https://www.linkedin.com/in/caitlinsmallwood,"['Data Analytics Suite', 'Data Visualization and Analysis', 'Business Strategy and Planning']",data analysis,data visualization,business intelligence,[]
"['applied economics managers', 'business strategy role it', 'competitive dynamics strategy - winning technology markets', 'data', 'models decisions', 'disruptive technologies: predator or prey', 'financial management', 'financial managerial accounting', 'how develop breakthrough products services', 'innovation strategy', 'management supply networks', 'marketing management', 'power negotiation', 'special seminar management (15.s20)', 'special seminar management (15.s21)']","['Information Technology and Management', 'Strategic Management and Innovation', 'Computer Science and Engineering']",https://www.linkedin.com/in/morten-torkildsen-7843546,"['Test Engineering', 'Ruby on Rails Development', 'Spring Boot Expertise']",test-driven development,ruby on rails development,spring boot development,"['Project Management Professional', 'TOGAF 8.1.1 Certification', 'SpringSource Certified Professional - Spring Framework 2.5', 'IBM Certified System Administrator - Websphere Application Server, Network Deployment, V6.1', 'Sun Certified Enterprise Architect for the Java Platform, Enterprise Edition 5', 'Sun Certified Developer for Java Web Services', 'Sun Certified Business Component Developer for the Java Platform, Enterprise Edition 5', 'Sun Certified Web Component Developer for the Java Platform, Enterprise Edition 5', 'Sun Certified Programmer for the Java Platform, Standard Edition 6']"
[''],[],https://www.linkedin.com/in/erniesvehla,"['Mobile Development and Testing', 'Design Engineering', 'Programming Paradigms']",mobile app development,user interface design,programming,['Certified Java 2 Programmer']
[''],"['Web Development and Design', 'Telecommunications and Electronics']",https://www.linkedin.com/in/kent-wesson-08a75a50,"['App Development and Building', 'Data Engineering and Management', 'Digital Literacy and Technology']",self-discovery,environmental stewardship,digital organization,"['Management Excellence at Microsoft: Model, Coach, Care', 'Speaking Confidently and Effectively', 'Effective Listening', 'Microsoft Datacenter Operations Services Inventory & Asset Management Specialist', 'Accessibility in Action', 'How to Rock an Interview', 'Interpersonal Communication', 'Microsoft Teams Quick Tips', 'The Five Thieves of Happiness (getAbstract Summary)', 'Defining and Achieving ""Success""', 'Being an Effective Team Member', 'Creating a Career Plan', 'How Getting Curious Helps You Achieve Everything', 'Improving Your Judgment for Better Decision-Making', 'Improving Your Listening Skills', 'Job Skills: Supply Chain and Operations', 'Managing Logistics', 'Strategic Thinking', 'Supply Chain Basics For Everyone', 'The Six Morning Habits of High Performers', 'What to Do in the First 90 Days of Your New Job', 'CPR/AED/First Aid']"
[''],"['Network Engineering and Administration', 'Electrical and Computer Engineering', 'STEM']",https://www.linkedin.com/in/jeffstewart,"['Functional Programming and Programming Concepts', 'Cloud and Enterprise Architecture', 'Efficient Code Development']",functional programming,cloud architecture,efficient coding,['Rust Essential Training']
[''],"['Business and Administration', 'Computer Science and Engineering', 'Electrical Engineering and Related Disciplines']",https://www.linkedin.com/in/mark-kaplan-424a964,"['API Development and Integration', 'Project Management and Resource Allocation', 'Software Development Best Practices']",web api design,project planning,agile methodology,[]
