id,url,skills,skill_1,skill_2,skill_3
hungwenc,https://www.linkedin.com/in/hungwenc,1: Java programming 2: Python programming 3: Hadoop administration,java programming,python programming,hadoop administration
andremagni,https://www.linkedin.com/in/andremagni,1: Data Management 2: Data Analysis 3: Machine Learning,data management,data analysis,machine learning
adithya-ramesh-949496137,https://www.linkedin.com/in/adithya-ramesh-949496137,1: Data Visualization 2: Text Analysis 3: Regression Analysis,data visualization,text analysis,regression analysis
grant-neuman,https://www.linkedin.com/in/grant-neuman,1: Machine learning 2: Data modeling 3: Recommender systems,machine learning,data modeling,recommender systems
bertrand-chauvaux-1a562164,https://www.linkedin.com/in/bertrand-chauvaux-1a562164,1: Identity management   2: Software design   3: Embedded systems programming  ,identity management,software design,embedded systems programming
shivanispv,https://www.linkedin.com/in/shivanispv,1: Error handling 2: MVC architecture 3: Functional programming,error handling,mvc architecture,functional programming
berdikhan,https://www.linkedin.com/in/berdikhan,1: Design patterns 2: Advanced APIs 3: Xcode essentials,design patterns,advanced apis,xcode essentials
nitish-kumar-vaja-aaa095b0,https://www.linkedin.com/in/nitishkumarvaja,1: Finite element analysis 2: Productivity management 3: Injection molding design,finite element analysis,productivity management,injection molding design
wonjunjang,https://www.linkedin.com/in/wonjunjang,1: Python development   2: Front-end development   3: Java programming  ,python development,front-end development,java programming
sachi-sharma,https://www.linkedin.com/in/sachi-sharma,1: Java development 2: Angular development 3: Servlet development,java development,angular development,servlet development
nikhil-chennupati-98899b127,https://www.linkedin.com/in/nikhilchennupati,1: Concurrency programming 2: Go programming 3: Java optimization,concurrency programming,go programming,java optimization
amrutha-srinivasan-64937113a,https://www.linkedin.com/in/amrutha-srinivasan,1: NLP modeling  2: Recommendation systems  3: Machine learning,nlp modeling,recommendation systems,machine learning
khe004,https://www.linkedin.com/in/khe004,1: Multithreading 2: FPGA design 3: Concurrency,multithreading,fpga design,concurrency
sara-mulherin,https://www.linkedin.com/in/sara-mulherin,1: Process Improvement 2: Sales Engineering 3: Problem Solving,process improvement,sales engineering,problem solving
shwetasuman,https://www.linkedin.com/in/shwetasuman,1: Parse JSON data 2: Develop microservices 3: Build web applications,parse json data,develop microservices,build web applications
jayakrishnan-somasekharan-nair-34bba38b,https://www.linkedin.com/in/jayakrishnansomasekharannair,1: Web development 2: Data validation 3: Java EE framework,web development,data validation,java ee framework
jay-scott-b928743,https://www.linkedin.com/in/jayscott082010,1: Network design 2: IP addressing 3: Troubleshooting,network design,ip addressing,troubleshooting
john-bryan-ba19575a,https://www.linkedin.com/in/john-bryan-ba19575a,1: Data warehousing 2: Full-stack web development 3: Cloud platform development,data warehousing,full-stack web development,cloud platform development
yuez1989,https://www.linkedin.com/in/yuez1989,1: NLP model building 2: Machine learning development 3: MLOps essentials,nlp model building,machine learning development,mlops essentials
shriya-sharma,https://www.linkedin.com/in/shriya-sharma,1: Network Design  2: Java Development  3: Python Programming,network design,java development,python programming
andrew-bradnan-7a04b9117,https://www.linkedin.com/in/andrew-bradnan-7a04b9117,1: Data analysis  2: iOS app development  3: gRPC for Python,data analysis,ios app development,grpc for python
